name	sprache	bedeutung
velagrad	mix	Fragment-Kombi: Segel + Stufe
velalux	mix	Fragment-Kombi: Segel + Licht
velamens	mix	Fragment-Kombi: Segel + Geist
velamind	mix	Fragment-Kombi: Segel + Geist
velanova	mix	Fragment-Kombi: Segel + Neues
velapath	mix	Fragment-Kombi: Segel + Pfad
velapeak	mix	Fragment-Kombi: Segel + Gipfel
velar	mix	'vela' (Segel) — volle Fahrt
velaria	mix	Fragment-Kombi: Segel
velarise	mix	Fragment-Kombi: Segel + Aufstieg
velasol	mix	Fragment-Kombi: Segel + Sonne
velavia	mix	Fragment-Kombi: Segel + Weg
vericore	mix	Fragment-Kombi: Wahrheit + Kern
verigrad	mix	Fragment-Kombi: Wahrheit + Stufe
verilux	mix	Fragment-Kombi: Wahrheit + Licht
verimens	mix	Fragment-Kombi: Wahrheit + Geist
verimind	mix	Fragment-Kombi: Wahrheit + Geist
verinova	mix	Fragment-Kombi: Wahrheit + Neues
veripath	mix	Fragment-Kombi: Wahrheit + Pfad
veripeak	mix	Fragment-Kombi: Wahrheit + Gipfel
veriria	mix	Fragment-Kombi: Wahrheit
veririse	mix	Fragment-Kombi: Wahrheit + Aufstieg
verisol	mix	Fragment-Kombi: Wahrheit + Sonne
verivia	mix	Fragment-Kombi: Wahrheit + Weg
verta	lat	von 'vertex' = Scheitel, höchster Punkt
vertar	lat	von 'vertex' = Scheitel, höchster Punkt
verteo	lat	von 'vertex' = Scheitel, höchster Punkt
vertia	lat	von 'vertex' = Scheitel, höchster Punkt
vertio	lat	von 'vertex' = Scheitel, höchster Punkt
vertix	lat	von 'vertex' = Scheitel, höchster Punkt
verto	lat	von 'vertex' = Scheitel, höchster Punkt
vertora	lat	von 'vertex' = Scheitel, höchster Punkt
vertus	lat	von 'vertex' = Scheitel, höchster Punkt
viara	mix	von 'via' = der Weg
viato	lat	von 'viator' = der Reisende
vigora	lat	von 'vigor' = Tatkraft
vivace	mix	ital. 'vivace' = lebhaft, mit Schwung
vivida	eng	engl. 'vivid' = lebhaft, klar
vividia	eng	engl. 'vivid' = lebhaft, klar
vividio	eng	engl. 'vivid' = lebhaft, klar
vividix	eng	engl. 'vivid' = lebhaft, klar
vividly	eng	engl. 'vivid' = lebhaft, klar
vivido	eng	engl. 'vivid' = lebhaft, klar
vividr	eng	engl. 'vivid' = lebhaft, klar
volaro	lat	von 'volare' = fliegen
wissena	de	dt. 'Wissen'
wissenia	de	dt. 'Wissen'
wissenio	de	dt. 'Wissen'
wisseno	de	dt. 'Wissen'
zenit	de	'Zenit' = höchster Punkt
zenita	mix	von 'Zenit' = höchster Punkt
zenith	eng	'zenith' = der Höhepunkt
ziela	de	dt. 'Ziel'
zielia	de	dt. 'Ziel'
zielio	de	dt. 'Ziel'
zielo	de	dt. 'Ziel'
